,ts,year,month,day,hour,generation_solar,generation_wind_offshore,generation_wind_onshore,forecast_solar_day_ahead,forecast_wind_onshore_day_ahead,price_day_ahead,price_actual
0,2014-12-31 23:00:00,2015,1,5,23,49,0,6378,17,6436,50.1,65.41
1,2015-01-01 00:00:00,2015,1,5,0,50,0,5890,16,5856,48.1,64.92
2,2015-01-01 01:00:00,2015,1,5,1,50,0,5461,8,5454,47.33,64.48
3,2015-01-01 02:00:00,2015,1,5,2,50,0,5238,2,5151,42.27,59.32
4,2015-01-01 03:00:00,2015,1,5,3,42,0,4935,9,4861,38.41,56.04
5,2015-01-01 04:00:00,2015,1,5,4,34,0,4618,4,4617,35.72,53.63
6,2015-01-01 05:00:00,2015,1,5,5,34,0,4397,3,4276,35.13,51.73
7,2015-01-01 06:00:00,2015,1,5,6,35,0,3992,12,3994,36.22,51.43
8,2015-01-01 07:00:00,2015,1,5,7,54,0,3629,39,3602,32.4,48.98
9,2015-01-01 08:00:00,2015,1,5,8,743,0,3073,784,3212,36.6,54.2
10,2015-01-01 09:00:00,2015,1,5,9,2019,0,2683,1996,2617,43.1,58.94
11,2015-01-01 10:00:00,2015,1,5,10,3197,0,2771,2990,2450,45.14,59.86
12,2015-01-01 11:00:00,2015,1,5,11,3885,0,2906,3842,2819,45.14,60.12
13,2015-01-01 12:00:00,2015,1,5,12,4007,0,2923,3812,2830,47.35,62.05
14,2015-01-01 13:00:00,2015,1,5,13,3973,0,2945,3699,2851,47.35,62.06
15,2015-01-01 14:00:00,2015,1,5,14,3818,0,2709,3369,2822,43.61,59.76
16,2015-01-01 15:00:00,2015,1,5,15,3088,0,2552,2615,2562,44.91,61.18
17,2015-01-01 16:00:00,2015,1,5,16,1467,0,2699,1387,2578,48.1,64.74
18,2015-01-01 17:00:00,2015,1,5,17,404,0,2764,399,2824,58.02,74.26
19,2015-01-01 18:00:00,2015,1,5,18,139,0,2913,100,2801,61.01,74.24
20,2015-01-01 19:00:00,2015,1,5,19,100,0,3118,44,2999,62.69,75.64
21,2015-01-01 20:00:00,2015,1,5,20,75,0,3373,26,3185,60.41,73.92
22,2015-01-01 21:00:00,2015,1,5,21,74,0,3508,13,3446,58.15,70.53
23,2015-01-01 22:00:00,2015,1,5,22,56,0,3527,14,3482,53.6,64.13
24,2015-01-01 23:00:00,2015,1,6,23,54,0,13232,5,13329,10.0,64.02
25,2015-01-02 00:00:00,2015,1,6,0,54,0,12760,35,12718,7.0,58.46
26,2015-01-02 01:00:00,2015,1,6,1,54,0,12174,43,12375,5.0,54.7
27,2015-01-02 02:00:00,2015,1,6,2,53,0,11358,32,11524,4.0,54.91
28,2015-01-02 03:00:00,2015,1,6,3,53,0,11199,31,11310,4.0,53.07
29,2015-01-02 04:00:00,2015,1,6,4,63,0,11152,26,11111,4.8,54.23
