,ts,year,month,day,hour,generation_solar,generation_wind_offshore,generation_wind_onshore,forecast_solar_day_ahead,forecast_wind_onshore_day_ahead,price_day_ahead,price_actual
25050,2017-11-10 10:00:00,2017,11,6,10,3658,0,1689,3859,1697,64.88,66.77
25051,2017-11-10 11:00:00,2017,11,6,11,4326,0,1756,4239,1710,63.22,66.97
25052,2017-11-10 12:00:00,2017,11,6,12,4484,0,2044,4686,1912,64.26,66.27
25053,2017-11-10 13:00:00,2017,11,6,13,4464,0,2557,4713,2328,61.84,63.67
25054,2017-11-10 14:00:00,2017,11,6,14,4334,0,2782,4413,2720,60.43,60.87
25055,2017-11-10 15:00:00,2017,11,6,15,4040,0,2815,3915,2810,60.43,62.52
25056,2017-11-10 16:00:00,2017,11,6,16,3355,0,2707,3273,2737,61.84,66.92
25057,2017-11-10 17:00:00,2017,11,6,17,2120,0,2412,2264,2489,65.74,73.71
25058,2017-11-10 18:00:00,2017,11,6,18,762,0,2327,1108,2329,69.0,75.08
25059,2017-11-10 19:00:00,2017,11,6,19,384,0,2203,489,2270,70.09,75.28
25060,2017-11-10 20:00:00,2017,11,6,20,212,0,2119,266,2075,67.66,74.12
25061,2017-11-10 21:00:00,2017,11,6,21,149,0,1956,207,2007,62.62,68.73
25062,2017-11-10 22:00:00,2017,11,6,22,145,0,1826,111,1844,58.92,66.47
25063,2017-11-10 23:00:00,2017,11,7,23,34,0,7374,57,7670,61.84,66.72
25064,2017-11-11 00:00:00,2017,11,7,0,34,0,7358,12,7316,57.0,61.96
25065,2017-11-11 01:00:00,2017,11,7,1,34,0,7436,10,7351,55.48,60.15
25066,2017-11-11 02:00:00,2017,11,7,2,33,0,7369,13,7364,49.31,54.72
25067,2017-11-11 03:00:00,2017,11,7,3,32,0,7394,18,7391,47.02,51.95
25068,2017-11-11 04:00:00,2017,11,7,4,31,0,7337,14,7270,46.57,51.58
25069,2017-11-11 05:00:00,2017,11,7,5,30,0,7474,12,7379,47.65,53.01
25070,2017-11-11 06:00:00,2017,11,7,6,31,0,7459,30,7407,49.64,55.54
25071,2017-11-11 07:00:00,2017,11,7,7,397,0,7202,341,7229,51.51,57.76
25072,2017-11-11 08:00:00,2017,11,7,8,1540,0,6619,1395,6761,56.52,62.65
25073,2017-11-11 09:00:00,2017,11,7,9,2985,0,6340,3006,6298,57.16,63.04
25074,2017-11-11 10:00:00,2017,11,7,10,3891,0,5930,3842,6083,57.97,63.36
25075,2017-11-11 11:00:00,2017,11,7,11,4109,0,5887,4059,5844,57.07,62.74
25076,2017-11-11 12:00:00,2017,11,7,12,4059,0,5771,4115,5846,56.81,62.54
25077,2017-11-11 13:00:00,2017,11,7,13,3932,0,5808,3987,5746,54.0,60.5
25078,2017-11-11 14:00:00,2017,11,7,14,3728,0,5845,3612,5897,50.0,56.25
25079,2017-11-11 15:00:00,2017,11,7,15,3047,0,5956,2792,5897,49.74,55.85
25080,2017-11-11 16:00:00,2017,11,7,16,1480,0,5797,1490,5967,60.67,66.85
25081,2017-11-11 17:00:00,2017,11,7,17,437,0,5885,480,5797,65.69,72.9
25082,2017-11-11 18:00:00,2017,11,7,18,166,0,5985,215,5955,67.05,74.28
25083,2017-11-11 19:00:00,2017,11,7,19,115,0,6000,114,5931,64.71,71.47
25084,2017-11-11 20:00:00,2017,11,7,20,89,0,5828,91,5553,62.58,69.17
25085,2017-11-11 21:00:00,2017,11,7,21,40,0,5842,47,5602,61.5,66.88
25086,2017-11-11 22:00:00,2017,11,7,22,40,0,5636,19,5746,59.12,65.06
25087,2017-11-11 23:00:00,2017,11,1,23,27,0,10991,3,11161,34.44,65.65
