,ts,year,month,day,hour,generation_solar,generation_wind_offshore,generation_wind_onshore,forecast_solar_day_ahead,forecast_wind_onshore_day_ahead,price_day_ahead,price_actual
10020,2016-02-23 03:00:00,2016,2,3,3,18,0,6125,0,6039,17.83,25.82
10021,2016-02-23 04:00:00,2016,2,3,4,18,0,6552,0,6446,20.96,30.55
10022,2016-02-23 05:00:00,2016,2,3,5,18,0,6954,4,6788,27.32,35.4
10023,2016-02-23 06:00:00,2016,2,3,6,19,0,7521,128,7276,34.67,41.33
10024,2016-02-23 07:00:00,2016,2,3,7,261,0,7469,411,7545,37.8,46.0
10025,2016-02-23 08:00:00,2016,2,3,8,1297,0,6876,1393,7001,40.16,48.19
10026,2016-02-23 09:00:00,2016,2,3,9,2282,0,6838,2491,6639,40.69,49.97
10027,2016-02-23 10:00:00,2016,2,3,10,3115,0,7350,3400,7145,35.0,44.0
10028,2016-02-23 11:00:00,2016,2,3,11,3721,0,8161,4022,7948,35.15,44.71
10029,2016-02-23 12:00:00,2016,2,3,12,4048,0,8433,4070,8448,33.83,42.84
10030,2016-02-23 13:00:00,2016,2,3,13,4204,0,8710,3990,8581,32.52,41.93
10031,2016-02-23 14:00:00,2016,2,3,14,4235,0,8808,3656,8737,32.5,41.94
10032,2016-02-23 15:00:00,2016,2,3,15,3948,0,8781,3182,8640,32.5,41.91
10033,2016-02-23 16:00:00,2016,2,3,16,2950,0,8499,2437,8626,32.5,43.53
10034,2016-02-23 17:00:00,2016,2,3,17,1194,0,7782,1208,7944,36.75,50.76
10035,2016-02-23 18:00:00,2016,2,3,18,393,0,7397,464,7339,43.9,57.2
10036,2016-02-23 19:00:00,2016,2,3,19,178,0,7314,285,7351,47.33,59.59
10037,2016-02-23 20:00:00,2016,2,3,20,51,0,7143,118,7230,45.03,54.33
10038,2016-02-23 21:00:00,2016,2,3,21,32,0,7013,81,7017,37.5,46.19
10039,2016-02-23 22:00:00,2016,2,3,22,31,0,6804,28,6865,32.5,42.32
10040,2016-02-23 23:00:00,2016,2,4,23,32,0,6592,18,6655,28.69,36.65
10041,2016-02-24 00:00:00,2016,2,4,0,17,0,6418,0,6417,22.8,29.92
10042,2016-02-24 01:00:00,2016,2,4,1,14,0,6296,3,6301,22.17,28.98
10043,2016-02-24 02:00:00,2016,2,4,2,11,0,6103,1,6183,18.3,25.24
10044,2016-02-24 03:00:00,2016,2,4,3,9,0,5872,0,5975,17.82,24.78
10045,2016-02-24 04:00:00,2016,2,4,4,15,0,5726,5,5688,20.76,27.58
10046,2016-02-24 05:00:00,2016,2,4,5,24,0,5707,11,5589,24.39,32.02
10047,2016-02-24 06:00:00,2016,2,4,6,25,0,5667,65,5668,33.69,40.73
10048,2016-02-24 07:00:00,2016,2,4,7,222,0,5134,338,5226,35.11,44.06
10049,2016-02-24 08:00:00,2016,2,4,8,929,0,4806,1087,4773,39.0,47.43
10050,2016-02-24 09:00:00,2016,2,4,9,1585,0,4840,2031,5004,37.0,46.94
10051,2016-02-24 10:00:00,2016,2,4,10,2130,0,4640,2816,4620,33.84,44.23
10052,2016-02-24 11:00:00,2016,2,4,11,2422,0,5156,2961,5161,32.5,41.7
10053,2016-02-24 12:00:00,2016,2,4,12,2350,0,5941,3127,5783,30.0,38.06
10054,2016-02-24 13:00:00,2016,2,4,13,2315,0,6538,2939,6425,27.4,35.78
10055,2016-02-24 14:00:00,2016,2,4,14,2197,0,7342,2428,7274,24.0,32.54
10056,2016-02-24 15:00:00,2016,2,4,15,1891,0,7328,1802,7505,27.75,36.07
10057,2016-02-24 16:00:00,2016,2,4,16,1104,0,7354,1255,7284,32.5,41.36
10058,2016-02-24 17:00:00,2016,2,4,17,284,0,7244,527,7280,40.0,53.1
10059,2016-02-24 18:00:00,2016,2,4,18,139,0,7185,117,7222,45.02,58.06
10060,2016-02-24 19:00:00,2016,2,4,19,96,0,7055,132,6999,38.95,51.54
10061,2016-02-24 20:00:00,2016,2,4,20,28,0,7281,83,7329,35.51,47.15
10062,2016-02-24 21:00:00,2016,2,4,21,9,0,7232,22,7485,32.79,40.95
