,ts,generation_solar,generation_wind_offshore,generation_wind_onshore,forecast_solar_day_ahead,forecast_wind_onshore_day_ahead,price_day_ahead,price_actual
15030,2016-09-18 22:00:00,634,0,5552,552,5644,38.74,44.92
15031,2016-09-18 23:00:00,630,0,4982,547,5120,36.0,42.88
15032,2016-09-19 00:00:00,616,0,4736,564,4741,33.09,39.9
15033,2016-09-19 01:00:00,574,0,4500,499,4589,32.6,38.89
15034,2016-09-19 02:00:00,470,0,4399,385,4398,32.2,38.92
15035,2016-09-19 03:00:00,331,0,4296,260,4321,32.35,39.12
15036,2016-09-19 04:00:00,193,0,4416,90,4396,36.63,44.49
15037,2016-09-19 05:00:00,80,0,4590,236,4477,42.31,48.14
15038,2016-09-19 06:00:00,312,0,4479,619,4574,44.6,52.0
15039,2016-09-19 07:00:00,1465,0,4081,1387,4081,44.69,52.55
15040,2016-09-19 08:00:00,3292,0,3766,3195,3874,43.95,52.18
15041,2016-09-19 09:00:00,4303,0,3310,4203,3542,43.97,52.48
15042,2016-09-19 10:00:00,4668,0,3065,4640,3159,45.56,54.1
15043,2016-09-19 11:00:00,4997,0,3111,5001,3075,46.1,54.81
15044,2016-09-19 12:00:00,4825,0,3012,4904,3069,45.56,54.64
15045,2016-09-19 13:00:00,4511,0,3115,4589,3087,45.0,53.0
15046,2016-09-19 14:00:00,4043,0,3395,4114,3259,45.19,52.55
15047,2016-09-19 15:00:00,3341,0,3925,3433,3740,45.47,52.93
15048,2016-09-19 16:00:00,2262,0,4348,2585,4254,45.19,52.66
15049,2016-09-19 17:00:00,968,0,4496,1496,4518,46.59,54.02
15050,2016-09-19 18:00:00,536,0,4760,685,4646,47.36,54.82
15051,2016-09-19 19:00:00,455,0,4983,324,4959,48.03,55.44
15052,2016-09-19 20:00:00,444,0,5123,361,5153,43.94,51.57
15053,2016-09-19 21:00:00,432,0,5135,265,5183,40.5,47.83
15054,2016-09-19 22:00:00,437,0,5193,329,5242,38.63,44.7
15055,2016-09-19 23:00:00,387,0,5223,310,5263,37.29,43.74
15056,2016-09-20 00:00:00,321,0,5161,246,5141,36.63,42.75
15057,2016-09-20 01:00:00,215,0,5116,216,5035,35.8,41.93
15058,2016-09-20 02:00:00,145,0,5074,191,5042,36.62,42.62
15059,2016-09-20 03:00:00,112,0,4978,132,5015,36.63,42.42
15060,2016-09-20 04:00:00,100,0,4695,115,4811,40.69,45.58
15061,2016-09-20 05:00:00,61,0,4269,115,4415,46.0,50.37
15062,2016-09-20 06:00:00,115,0,3917,302,3988,46.69,53.38
15063,2016-09-20 07:00:00,663,0,3470,914,3682,47.87,54.51
